TipoLuminaria,ColorSuelo,AlturaLuminaria,FlujoLuminicoTotal,TCC,IluminanciaAbajo,Espectro,ReflectanciaSuelo,IluminanciaSuperior
Philips CoreLine tempo medium BVP125 LED 67-4S/830,Verde oscuro,160.0,6724.0,3181.0,918.0,605.0,10.0,57.22
Philips CoreLine tempo medium BVP125 LED 67-4S/830,marrón claro,160.0,6724.0,3181.0,918.0,605.0,48.0,92.61
Philips CoreLine tempo medium BVP125 LED 67-4S/830,marrón oscuro,160.0,6724.0,3181.0,918.0,605.0,12.0,48.28
Philips Iridium Gen3 Mini BGP381 GRN45/740,negro,80.0,4500.0,4225.0,1939.0,450.0,4.0,36.52
Philips Iridium Gen3 Mini BGP381 GRN45/740,gris oscuro,80.0,4500.0,4225.0,1939.0,450.0,20.0,65.74
Philips Iridium Gen3 Mini BGP381 GRN45/740,gris claro,80.0,4500.0,4225.0,1939.0,450.0,42.0,108.9
Philips Iridium Gen3 Mini BGP381 GRN45/740,blanco,80.0,4500.0,4225.0,1939.0,450.0,66.0,225.3
Philips Iridium Gen3 Mini BGP381 GRN45/740,morado,80.0,4500.0,4225.0,1939.0,450.0,4.0,52.83
Philips Iridium Gen3 Mini BGP381 GRN45/740,rojo,80.0,4500.0,4225.0,1939.0,450.0,10.0,57.66
Philips Iridium Gen3 Mini BGP381 GRN45/740,verde claro,80.0,4500.0,4225.0,1939.0,450.0,55.0,139.5
Philips Iridium Gen3 Mini BGP381 GRN45/740,verde ,80.0,4500.0,4225.0,1939.0,450.0,27.0,122.5
Philips Iridium Gen3 Mini BGP381 GRN45/740,Verde oscuro,80.0,4500.0,4225.0,1939.0,450.0,11.0,77.02
Philips Iridium Gen3 Mini BGP381 GRN45/740,marrón claro,80.0,4500.0,4225.0,1939.0,450.0,46.0,122.4
Philips Iridium Gen3 Mini BGP381 GRN45/740,marrón oscuro,80.0,4500.0,4225.0,1939.0,450.0,11.0,48.08
Philips Iridium Gen3 Mini BGP381 GRN45/740,negro,160.0,4500.0,4225.0,470.1,450.0,4.0,28.7
Philips Iridium Gen3 Mini BGP381 GRN45/740,gris oscuro,160.0,4500.0,4225.0,470.1,450.0,20.0,38.82
Philips Iridium Gen3 Mini BGP381 GRN45/740,gris claro,160.0,4500.0,4225.0,470.1,450.0,42.0,48.31
Philips Iridium Gen3 Mini BGP381 GRN45/740,blanco,160.0,4500.0,4225.0,470.1,450.0,66.0,52.6
Philips Iridium Gen3 Mini BGP381 GRN45/740,morado,160.0,4500.0,4225.0,470.1,450.0,4.0,32.62
Philips Iridium Gen3 Mini BGP381 GRN45/740,rojo,160.0,4500.0,4225.0,470.1,450.0,10.0,33.39
Philips Iridium Gen3 Mini BGP381 GRN45/740,verde claro,160.0,4500.0,4225.0,470.1,450.0,55.0,47.61
Philips Iridium Gen3 Mini BGP381 GRN45/740,verde ,160.0,4500.0,4225.0,470.1,450.0,27.0,41.7
Philips Iridium Gen3 Mini BGP381 GRN45/740,Verde oscuro,160.0,4500.0,4225.0,470.1,450.0,11.0,32.4
Philips Iridium Gen3 Mini BGP381 GRN45/740,marrón claro,160.0,4500.0,4225.0,470.1,450.0,46.0,42.84
Philips Iridium Gen3 Mini BGP381 GRN45/740,marrón oscuro,160.0,4500.0,4225.0,470.1,450.0,11.0,27.85
Hispaled Vera Series VRS60W R4S PF 3000K,negro,80.0,6000.0,3099.0,4606.0,598.0,4.0,63.78
Hispaled Vera Series VRS60W R4S PF 3000K,gris oscuro,80.0,6000.0,3099.0,4606.0,598.0,20.0,129.5
Hispaled Vera Series VRS60W R4S PF 3000K,gris claro,80.0,6000.0,3099.0,4606.0,598.0,42.0,248.6
Hispaled Vera Series VRS60W R4S PF 3000K,blanco,80.0,6000.0,3099.0,4606.0,598.0,66.0,485.3
Hispaled Vera Series VRS60W R4S PF 3000K,morado,80.0,6000.0,3099.0,4606.0,598.0,4.0,82.46
Hispaled Vera Series VRS60W R4S PF 3000K,rojo,80.0,6000.0,3099.0,4606.0,598.0,12.0,117.7
Hispaled Vera Series VRS60W R4S PF 3000K,verde claro,80.0,6000.0,3099.0,4606.0,598.0,54.0,334.0
Hispaled Vera Series VRS60W R4S PF 3000K,verde ,80.0,6000.0,3099.0,4606.0,598.0,26.0,230.2
Hispaled Vera Series VRS60W R4S PF 3000K,Verde oscuro,80.0,6000.0,3099.0,4606.0,598.0,10.0,132.6
Hispaled Vera Series VRS60W R4S PF 3000K,marrón claro,80.0,6000.0,3099.0,4606.0,598.0,48.0,286.2
Hispaled Vera Series VRS60W R4S PF 3000K,marrón oscuro,80.0,6000.0,3099.0,4606.0,598.0,12.0,86.02
Hispaled Vera Series VRS60W R4S PF 3000K,negro,160.0,6000.0,3099.0,1090.0,598.0,4.0,73.3
Hispaled Vera Series VRS60W R4S PF 3000K,gris oscuro,160.0,6000.0,3099.0,1090.0,598.0,20.0,94.93
Hispaled Vera Series VRS60W R4S PF 3000K,gris claro,160.0,6000.0,3099.0,1090.0,598.0,42.0,98.22
Hispaled Vera Series VRS60W R4S PF 3000K,blanco,160.0,6000.0,3099.0,1090.0,598.0,66.0,140.8
Hispaled Vera Series VRS60W R4S PF 3000K,morado,160.0,6000.0,3099.0,1090.0,598.0,4.0,82.62
Hispaled Vera Series VRS60W R4S PF 3000K,rojo,160.0,6000.0,3099.0,1090.0,598.0,12.0,86.76
Hispaled Vera Series VRS60W R4S PF 3000K,verde claro,160.0,6000.0,3099.0,1090.0,598.0,54.0,112.6
Hispaled Vera Series VRS60W R4S PF 3000K,verde ,160.0,6000.0,3099.0,1090.0,598.0,26.0,112.8
Hispaled Vera Series VRS60W R4S PF 3000K,Verde oscuro,160.0,6000.0,3099.0,1090.0,598.0,10.0,81.54
Hispaled Vera Series VRS60W R4S PF 3000K,marrón claro,160.0,6000.0,3099.0,1090.0,598.0,48.0,115.3
Hispaled Vera Series VRS60W R4S PF 3000K,marrón oscuro,160.0,6000.0,3099.0,1090.0,598.0,12.0,82.94
